Date,PX_OPEN,PX_LAST,PX_LOW,PX_HIGH,PX_BID,PX_ASK,PX_MID,PX_VOLUME,PX_TO_BOOK_RATIO,PE_RATIO,IS_EPS,CASH_RATIO,CUR_RATIO,QUICK_RATIO,AVERAGE_DIVIDEND_YIELD,PROF_MARGIN,OPER_MARGIN
19/07/2019,205.79,202.59,202.36,206.5,202.57,202.59,202.58,20929307,9.5175,17.2509,2.2,1.0547,1.5046,1.2125,1.4611,18.666,21.4537
18/07/2019,204,205.66,203.7,205.88,205.65,205.66,205.655,18582161,9.6617,17.5123,2.2,1.0547,1.5046,1.2125,1.4393,18.666,21.4537
17/07/2019,204.05,203.35,203.27,205.0915,203.27,203.28,203.275,14107450,9.5532,17.3156,2.2,1.0547,1.5046,1.2125,1.4556,18.666,21.4537
16/07/2019,204.59,204.5,203.5,206.11,204.48,204.49,204.485,16866816,9.6072,17.4135,2.2,1.0547,1.5046,1.2125,1.4474,18.666,21.4537
15/07/2019,204.09,205.21,204,205.87,205.19,205.2,205.195,16947420,9.6405,17.474,2.2,1.0547,1.5046,1.2125,1.4424,18.666,21.4537
12/07/2019,202.45,203.3,202.2,204,203.23,203.28,203.255,17595212,9.5508,17.3113,2.2,1.0547,1.5046,1.2125,1.456,18.666,21.4537
11/07/2019,203.31,201.75,201.71,204.39,201.74,201.75,201.745,20191842,9.478,17.1794,2.2,1.0547,1.5046,1.2125,1.4672,18.666,21.4537
10/07/2019,201.85,203.23,201.56,203.73,203.17,203.21,203.19,17897138,9.5475,17.3054,2.2,1.0547,1.5046,1.2125,1.4565,18.666,21.4537
09/07/2019,199.2,201.24,198.81,201.51,201.22,201.24,201.23,20578015,9.454,17.1359,2.2,1.0547,1.5046,1.2125,1.4709,18.666,21.4537
08/07/2019,200.81,200.02,198.41,201.4,200.01,200.02,200.015,25338628,9.3967,17.032,2.2,1.0547,1.5046,1.2125,1.4799,18.666,21.4537
05/07/2019,203.35,204.23,202.9,205.08,204.24,204.26,204.25,17265518,9.5945,17.3905,2.2,1.0547,1.5046,1.2125,1.4493,18.666,21.4537
03/07/2019,203.28,204.41,202.6901,204.44,204.4,204.42,204.41,11362045,9.603,17.4059,2.2,1.0547,1.5046,1.2125,1.4481,18.666,21.4537
02/07/2019,201.41,202.73,201.36,203.1323,202.71,202.72,202.715,16935217,9.524,17.2628,2.2,1.0547,1.5046,1.2125,1.4601,18.666,21.4537
01/07/2019,203.17,201.55,200.65,204.49,201.66,201.7,201.68,27316739,9.4686,17.1623,2.2,1.0547,1.5046,1.2125,1.4686,18.666,21.4537
28/06/2019,198.68,197.92,197.05,199.495,197.91,197.94,197.925,31110642,9.2981,16.8532,2.2,1.0547,1.5046,1.2125,1.4956,18.666,21.4537
27/06/2019,200.29,199.74,199.57,201.57,199.72,199.74,199.73,20899717,8.6932,16.8192,2.47,0.8541,1.3154,1.015,1.4619,19.9276,23.1233
26/06/2019,197.77,199.8,197.35,200.99,199.78,199.8,199.79,26067512,8.6958,16.8243,2.47,0.8541,1.3154,1.015,1.4615,19.9276,23.1233
25/06/2019,198.43,195.57,195.29,199.26,195.57,195.58,195.575,21070334,8.5117,16.4681,2.47,0.8541,1.3154,1.015,1.4931,19.9276,23.1233
24/06/2019,198.54,198.58,198.17,200.16,198.54,198.55,198.545,18220421,8.6427,16.7216,2.47,0.8541,1.3154,1.015,1.4704,19.9276,23.1233
21/06/2019,198.8,198.78,198.15,200.85,198.78,198.8,198.79,47800589,8.6514,16.7384,2.47,0.8541,1.3154,1.015,1.469,19.9276,23.1233
20/06/2019,200.37,199.46,198.03,200.61,199.37,199.4,199.385,21513988,8.681,16.7957,2.47,0.8541,1.3154,1.015,1.464,19.9276,23.1233
19/06/2019,199.68,197.87,197.31,199.88,197.82,197.87,197.845,21124235,8.6118,16.6618,2.47,0.8541,1.3154,1.015,1.4757,19.9276,23.1233
18/06/2019,196.05,198.45,195.21,200.29,198.48,198.51,198.495,26551004,8.637,16.7106,2.47,0.8541,1.3154,1.015,1.4714,19.9276,23.1233
17/06/2019,192.9,193.89,192.17,194.96,193.94,193.95,193.945,14669144,8.4386,16.3266,2.47,0.8541,1.3154,1.015,1.506,19.9276,23.1233
14/06/2019,191.545,192.74,190.3,193.5863,192.74,192.75,192.745,18761474,8.3885,16.2298,2.47,0.8541,1.3154,1.015,1.515,19.9276,23.1233
13/06/2019,194.7,194.15,193.6,196.79,194.71,194.74,194.725,21674625,8.4499,16.3485,2.47,0.8541,1.3154,1.015,1.504,19.9276,23.1233
12/06/2019,193.95,194.19,193.385,195.97,194.18,194.19,194.185,18253189,8.4516,16.3519,2.47,0.8541,1.3154,1.015,1.5037,19.9276,23.1233
11/06/2019,194.86,194.81,193.6,196,194.8,194.81,194.805,26932882,8.4786,16.4041,2.47,0.8541,1.3154,1.015,1.4989,19.9276,23.1233
10/06/2019,191.81,192.58,191.62,195.37,192.5,192.54,192.52,26220851,8.3815,16.2163,2.47,0.8541,1.3154,1.015,1.5163,19.9276,23.1233
07/06/2019,186.51,190.15,185.77,191.92,190.14,190.16,190.15,30684393,8.2758,16.0117,2.47,0.8541,1.3154,1.015,1.5356,19.9276,23.1233
06/06/2019,183.08,185.22,182.1489,185.47,185.21,185.26,185.235,22526311,8.0612,15.5966,2.47,0.8541,1.3154,1.015,1.5765,19.9276,23.1233
05/06/2019,184.28,182.54,181.14,184.99,182.53,182.54,182.535,29773427,7.9446,15.3709,2.47,0.8541,1.3154,1.015,1.5996,19.9276,23.1233
04/06/2019,175.44,179.64,174.52,179.83,179.65,179.68,179.665,30967961,7.8184,15.1267,2.47,0.8541,1.3154,1.015,1.6255,19.9276,23.1233
03/06/2019,175.6,173.3,170.27,177.92,173.27,173.3,173.285,40396069,7.5424,14.5928,2.47,0.8541,1.3154,1.015,1.6849,19.9276,23.1233
31/05/2019,176.23,175.07,174.99,177.99,175,175.02,175.01,27043584,7.6195,14.7419,2.47,0.8541,1.3154,1.015,1.6679,19.9276,23.1233
30/05/2019,177.95,178.3,176.67,179.23,178.24,178.28,178.26,21218412,7.76,15.0139,2.47,0.8541,1.3154,1.015,1.6377,19.9276,23.1233
29/05/2019,176.42,177.38,176,179.35,177.35,177.38,177.365,28481165,7.72,14.9364,2.47,0.8541,1.3154,1.015,1.6462,19.9276,23.1233
28/05/2019,178.92,178.23,177.91,180.59,178.16,178.19,178.175,27948160,7.757,15.008,2.47,0.8541,1.3154,1.015,1.6383,19.9276,23.1233
24/05/2019,180.2,178.97,178.62,182.14,179.03,179.09,179.06,23714686,7.7892,15.0703,2.47,0.8541,1.3154,1.015,1.6316,19.9276,23.1233
23/05/2019,179.8,179.66,177.81,180.54,179.67,179.68,179.675,36529736,7.8192,15.1284,2.47,0.8541,1.3154,1.015,1.6253,19.9276,23.1233
22/05/2019,184.66,182.78,182.55,185.71,182.75,182.79,182.77,29748556,7.955,15.3911,2.47,0.8541,1.3154,1.015,1.5975,19.9276,23.1233
21/05/2019,185.22,186.6,184.7,188,186.59,186.6,186.595,28364848,8.1213,15.7128,2.47,0.8541,1.3154,1.015,1.5648,19.9276,23.1233
20/05/2019,183.52,183.09,180.2839,184.349,183.09,183.1,183.095,38612290,7.9685,15.4172,2.47,0.8541,1.3154,1.015,1.5948,19.9276,23.1233
17/05/2019,186.93,189,186.76,190.9,188.95,188.98,188.965,32879090,8.2257,15.9149,2.47,0.8541,1.3154,1.015,1.545,19.9276,23.1233
16/05/2019,189.91,190.08,188.84,192.4689,190.13,190.15,190.14,33031364,8.2727,16.0058,2.47,0.8541,1.3154,1.015,1.5362,19.9276,23.1233
15/05/2019,186.27,190.92,186.02,191.75,190.89,190.92,190.905,26544718,8.3093,16.0766,2.47,0.8541,1.3154,1.015,1.5294,19.9276,23.1233
14/05/2019,186.41,188.66,185.41,189.7,188.65,188.66,188.655,36529677,8.2109,15.8862,2.47,0.8541,1.3154,1.015,1.5478,19.9276,23.1233
13/05/2019,187.71,185.72,182.85,189.48,185.72,185.73,185.725,57430623,8.083,15.6387,2.47,0.8541,1.3154,1.015,1.5723,19.9276,23.1233
10/05/2019,197.419,197.18,192.77,198.85,197.25,197.28,197.265,41208712,8.5818,16.6037,2.47,0.8541,1.3154,1.015,1.4809,19.9276,23.1233
09/05/2019,200.4,200.72,196.66,201.68,200.71,200.73,200.72,34908607,8.7358,16.9018,2.47,0.8541,1.3154,1.015,1.4548,19.9276,23.1233
08/05/2019,201.9,202.9,201.75,205.34,202.89,202.91,202.9,26339504,8.8307,17.0853,2.47,0.8541,1.3154,1.015,1.4391,19.9276,23.1233
07/05/2019,205.88,202.86,200.825,207.4175,202.86,202.92,202.89,38763698,8.829,17.082,2.47,0.8541,1.3154,1.015,1.4394,19.9276,23.1233
06/05/2019,204.29,208.48,203.5,208.84,208.57,208.61,208.59,32443113,9.0736,17.5552,2.47,0.8541,1.3154,1.015,1.4006,19.9276,23.1233
03/05/2019,210.89,211.75,210.23,211.84,211.77,211.79,211.78,20892378,9.2159,17.8306,2.47,0.8541,1.3154,1.015,1.379,19.9276,23.1233
02/05/2019,209.84,209.15,208.13,212.65,209.15,209.18,209.165,31996324,9.1027,17.6116,2.47,0.8541,1.3154,1.015,1.3961,19.9276,23.1233
01/05/2019,209.88,210.52,209.23,215.31,210.51,210.53,210.52,64827328,9.1623,17.727,2.47,0.8541,1.3154,1.015,1.387,19.9276,23.1233
30/04/2019,203.06,200.67,199.11,203.4,200.5,200.57,200.535,46534923,8.7336,16.8976,2.47,0.8541,1.3154,1.015,1.4551,19.9276,23.1233
29/04/2019,204.4,204.61,203.86,205.97,204.6,204.62,204.61,22204716,8.9051,17.2293,2.47,0.8541,1.3154,1.015,1.4271,19.9276,23.1233
